"Family","Sample","Platform","Year","BAIT_SET","GENOME_SIZE","BAIT_TERRITORY","TARGET_TERRITORY","BAIT_DESIGN_EFFICIENCY","TOTAL_READS","PF_READS","PF_UNIQUE_READS","PCT_PF_READS","PCT_PF_UQ_READS","PF_UQ_READS_ALIGNED","PCT_PF_UQ_READS_ALIGNED","PF_BASES_ALIGNED","PF_UQ_BASES_ALIGNED","ON_BAIT_BASES","NEAR_BAIT_BASES","OFF_BAIT_BASES","ON_TARGET_BASES","PCT_SELECTED_BASES","PCT_OFF_BAIT","ON_BAIT_VS_SELECTED","MEAN_BAIT_COVERAGE","MEAN_TARGET_COVERAGE","MEDIAN_TARGET_COVERAGE","PCT_USABLE_BASES_ON_BAIT","PCT_USABLE_BASES_ON_TARGET","FOLD_ENRICHMENT","ZERO_CVG_TARGETS_PCT","PCT_EXC_DUPE","PCT_EXC_MAPQ","PCT_EXC_BASEQ","PCT_EXC_OVERLAP","PCT_EXC_OFF_TARGET","FOLD_80_BASE_PENALTY","PCT_TARGET_BASES_1X","PCT_TARGET_BASES_2X","PCT_TARGET_BASES_10X","PCT_TARGET_BASES_20X","PCT_TARGET_BASES_30X","PCT_TARGET_BASES_40X","PCT_TARGET_BASES_50X","PCT_TARGET_BASES_100X","HS_LIBRARY_SIZE","HS_PENALTY_10X","HS_PENALTY_20X","HS_PENALTY_30X","HS_PENALTY_40X","HS_PENALTY_50X","HS_PENALTY_100X","AT_DROPOUT","GC_DROPOUT","HET_SNP_SENSITIVITY","HET_SNP_Q","SAMPLE","LIBRARY","READ_GROUP","PF_BASES","MAX_TARGET_COVERAGE","MIN_TARGET_COVERAGE","PCT_EXC_ADAPTER"
"A","1253","ILLUMINA",2016,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,47123026,47123026,47123026,1,1,47099143,0.999493,5833465441,5833465441,4353723297,1026986336,452755808,3254488469,0.922386,0.077614,0.809136,72.164562,53.944341,46,0.739125,0.552509,39.801115,0.046963,0,0.07125,0.016472,0.180429,0.758958,"2.568778",0.949031,0.945662,0.908977,0.820986,0.7031,0.578023,0.460553,0.122661,NA,0,0,0,0,0,0,12.715387,1.605234,0.9414,12,NA,NA,NA,NA,NA,NA,NA
"A","1480","ILLUMINA",2016,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,49221846,49221846,49221846,1,1,49197772,0.999511,6098858736,6098858736,4510136691,1103019113,485702932,3456736181,0.920362,0.079638,0.803494,74.757171,57.296671,47,0.73303,0.561821,39.436846,0.046162,0,0.073554,0.011384,0.166069,0.769033,"2.728413",0.949815,0.94621,0.906614,0.816712,0.702968,0.58637,0.478351,0.153392,NA,0,0,0,0,0,0,15.690744,1.307897,0.941845,12,NA,NA,NA,NA,NA,NA,NA
"A","1652","ILLUMINA",2016,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,46286872,46286872,46286872,1,1,46258850,0.999395,5730405670,5730405670,4200520185,1081737740,448147745,3272288060,0.921795,0.078205,0.795213,69.625164,54.239376,46,0.725998,0.565567,39.091178,0.046323,0,0.071505,0.011078,0.155002,0.781868,"2.582827",0.94971,0.946424,0.910106,0.821359,0.702974,0.577645,0.460661,0.125377,NA,0,0,0,0,0,0,13.577031,1.395993,0.942446,12,NA,NA,NA,NA,NA,NA,NA
"A","1653","ILLUMINA",2016,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,46050150,46050150,46050150,1,1,46016276,0.999264,5722680019,5722680019,4132732999,1139332067,450614953,3269122360,0.921258,0.078742,0.783893,68.501566,54.186903,44,0.717953,0.567924,38.512253,0.04589,0,0.075362,0.012503,0.132689,0.793427,"2.709345",0.950305,0.946871,0.906475,0.808023,0.681997,0.554648,0.441873,0.134478,NA,0,0,0,0,0,0,16.636178,1.044008,0.942033,12,NA,NA,NA,NA,NA,NA,NA
"A","1908","ILLUMINA",2017,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,22127140,22127140,22127140,1,1,22103262,0.998921,2735303681,2735303681,2008173548,496729553,230400580,1537743395,0.915768,0.084232,0.801697,33.286214,25.488661,19,0.726049,0.555966,39.152251,0.051971,0,0.070811,0.01244,0.171595,0.772058,"3.641237",0.942497,0.930157,0.743362,0.484546,0.316706,0.210696,0.139283,0.012218,NA,0,0,0,0,0,0,22.26625,0.72232,0.902939,10,NA,NA,NA,NA,NA,NA,NA
"B","1367","ILLUMINA",2016,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,48912686,48912686,44010143,1,0.899769,43969938,0.999086,6053122231,5442855509,4508053915,1082668131,462400185,2979827823,0.92361,0.07639,0.806346,74.722648,49.39174,39,0.737323,0.487371,39.716476,0.046111,0.100819,0.069897,0.016366,0.148402,0.172243,"3.086984",0.949479,0.944985,0.881088,0.749159,0.612223,0.493264,0.39587,0.120032,99778236,6.024088,6.496405,7.086801,7.854316,8.913093,-1,19.594741,0.895549,0.93711,12,NA,NA,NA,6114085750,745,0,0
"B","1412","ILLUMINA",2016,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,46758158,46758158,42526557,1,0.9095,42501519,0.999411,5790991300,5264106099,4232943953,1098758517,459288830,2905395091,0.920689,0.079311,0.79392,70.1626,48.15799,42,0.724228,0.497093,38.980791,0.045971,0.090984,0.067533,0.013933,0.136516,0.18933,"2.4079",0.949948,0.946177,0.904316,0.802519,0.667854,0.528495,0.403868,0.084978,105924494,4.575615,4.820348,5.109007,5.441593,5.844461,11.928897,13.781988,1.204144,0.94178,12,NA,NA,NA,5844769750,670,0,0
"B","1731","",2012,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,117870798,117870798,95933797,1,0.813889,95700132,0.997564,11571717827,9412959949,4433624213,2063064686,5075028928,2415344354,0.561428,0.438572,0.682444,69.921418,38.091704,34,0.376143,0.204915,19.440628,0.042719,0.186555,0.121724,0.02396,0.105279,0.353764,"2.116206",0.946414,0.939235,0.893139,0.78109,0.586983,0.391668,0.247637,0.030015,61851206,9.362346,11.042641,13.9676,22.43131,-1,-1,0.172752,7.449252,0.92915,11,NA,NA,NA,11787079800,1227,0,1e-06
"B","1731_new","",2019,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,144977150,144977150,129106933,1,0.890533,128734973,0.997119,21437274393,19080375783,15305243745,3933816038,2198214610,8485183997,0.897458,0.102542,0.79553,253.690033,140.645039,135,0.7038,0.390185,38.074283,0.044776,0.109944,0.062986,0.017873,0.248766,0.164638,"1.926644",0.95091,0.949168,0.941417,0.930011,0.914978,0.896281,0.873553,0.684552,260904162,4.394973,4.464689,4.543118,4.612834,4.696492,5.156614,0.417168,4.809474,0.947788,13,NA,NA,NA,21746572500,2835,0,0
"B","1772","",2012,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,102247266,102247266,83499501,1,0.816643,83261276,0.997147,10037306054,8191986908,4122097218,1899797287,4015411549,2273943474,0.599951,0.400049,0.684518,65.008415,35.861712,31,0.40315,0.222397,20.837725,0.043508,0.183846,0.122217,0.024408,0.103989,0.339,"2.241357",0.943367,0.934352,0.880558,0.744364,0.538697,0.351283,0.219644,0.026559,60325663,9.289074,11.1511,14.821646,39.049389,-1,-1,0.15068,9.938693,0.923273,11,NA,NA,NA,10224726600,1428,0,1e-06
